Account ID,SAUCE Amount,Airdrop Status,Airdrop TX ID
0.0.732798,1.175606067,SUCCESS,0.0.4138717@1701632311.786119801
0.0.3958740,0.646124355,SUCCESS, 0.0.4138717@1701632315.415349977
0.0.3958737,0.00905832,SUCCESS, 0.0.4138717@1701632323.977854508
0.0.1265153,1.578879612,SUCCESS, 0.0.4138717@1701632331.370769347
0.0.512388,763.3637077,SUCCESS, 0.0.4138717@1701632333.108687952
0.0.1930477,82702.56198,SUCCESS, 0.0.4138717@1701632337.174929021
0.0.165981,35.35528104,SUCCESS, 0.0.4138717@1701632342.285480900
0.0.1085174,614.7997908,SUCCESS, 0.0.4138717@1701632354.599442749
0.0.731789,3.694207476,SUCCESS, 0.0.4138717@1701632357.532286714
0.0.692862,288.9196951,SUCCESS, 0.0.4138717@1701632361.974646150
0.0.2020300,314.4644292,SUCCESS, 0.0.4138717@1701632370.267559376
0.0.458059,1284.640345,SUCCESS, 0.0.4138717@1701632371.767188747
0.0.910310,186.2389865,SUCCESS, 0.0.4138717@1701632379.320014914
0.0.3000334,26.28602974,SUCCESS, 0.0.4138717@1701632383.773398509
0.0.7951,172198.982,SUCCESS, 0.0.4138717@1701632383.664271826
0.0.846835,1499.498822,SUCCESS, 0.0.4138717@1701632391.483679086
0.0.525256,7514.989405,SUCCESS, 0.0.4138717@1701632397.677540315
0.0.949180,2988.545161,SUCCESS, 0.0.4138717@1701632404.403818399
0.0.1325925,59208.94892,SUCCESS, 0.0.4138717@1701632408.589411096
0.0.2245713,148.8384317,SUCCESS, 0.0.4138717@1701632415.240381966
0.0.896788,1755.206628,SUCCESS, 0.0.4138717@1701632421.828170977
0.0.887415,1008.954204,SUCCESS, 0.0.4138717@1701632427.151297527
0.0.1109942,763.9329057,SUCCESS, 0.0.4138717@1701632431.539344467
0.0.732888,1384.480073,SUCCESS, 0.0.4138717@1701632437.291169723
0.0.1485035,9466.7596,SUCCESS, 0.0.4138717@1701632439.353040397
0.0.1309628,2932.617158,SUCCESS, 0.0.4138717@1701632444.744134827
0.0.825160,2598.277213,SUCCESS, 0.0.4138717@1701632452.189795155
0.0.660703,641.2027496,SUCCESS, 0.0.4138717@1701632456.737576355
0.0.842247,494.5416672,SUCCESS, 0.0.4138717@1701632460.866415316
0.0.1120955,188.7967733,SUCCESS, 0.0.4138717@1701632471.114408398
0.0.1093446,5410.928266,SUCCESS, 0.0.4138717@1701632474.820005727
0.0.1154193,20.8705136,SUCCESS, 0.0.4138717@1701632481.687248264
0.0.1419835,785.7615189,SUCCESS, 0.0.4138717@1701632487.971310420
0.0.838062,754.3470759,SUCCESS, 0.0.4138717@1701632493.946373691
0.0.795476,8384.681773,SUCCESS, 0.0.4138717@1701632498.940787782
0.0.1425530,53.40722673,SUCCESS, 0.0.4138717@1701632501.104670925
0.0.1103122,758.7743115,SUCCESS, 0.0.4138717@1701632526.601791676
0.0.1993418,28.96750428,SUCCESS, 0.0.4138717@1701632535.20413486
0.0.1353438,496.7854095,SUCCESS, 0.0.4138717@1701632541.279709986
0.0.1970600,0.819203013,SUCCESS, 0.0.4138717@1701632549.168522056
0.0.845642,54.27368826,SUCCESS, 0.0.4138717@1701632553.236425547
0.0.733192,2.278923332,SUCCESS, 0.0.4138717@1701632561.666024502
0.0.1786431,151.2779947,SUCCESS, 0.0.4138717@1701632562.435251381
