Account ID,Token ID,Airdrop Amount,Airdrop Status,Pools,Airdrop TX ID
0.0.3958740,0.0.731861,3.57438E-05,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1721149778.591650505
0.0.1265153,0.0.731861,0.02618979,SUCCESS,0.0.3948521&0.0.3961531&0.0.3964795&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964840&0.0.3964815,0.0.4138717@1721149777.822849445
0.0.165981,0.0.731861,4.70511E-05,SUCCESS,0.0.3948521,0.0.4138717@1721149780.334010306
0.0.1274087,0.0.731861,4.861623901,SUCCESS,0.0.3948521&0.0.3964804,0.0.4138717@1721149777.025766233
0.0.7951,0.0.731861,15667.86199,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964855&0.0.3964804&0.0.3964808,0.0.4138717@1721149779.422943300
0.0.1325925,0.0.731861,1886.78003,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3961531&0.0.3964795&0.0.3964800,0.0.4138717@1721149778.727821403
0.0.1008009,0.0.731861,1.173167815,SUCCESS,0.0.3948521&0.0.3964790&0.0.3961531&0.0.3964855,0.0.4138717@1721149779.539886445
0.0.665927,0.0.731861,35.91849044,SUCCESS,0.0.3948521,0.0.4138717@1721149780.516614145
0.0.692862,0.0.731861,140.5730242,SUCCESS,0.0.3948521&0.0.3964782,0.0.4138717@1721149777.025573525
0.0.1396279,0.0.731861,45.1222058,SUCCESS,0.0.3948521,0.0.4138717@1721149778.922969818
0.0.3712323,0.0.731861,0.955897514,SUCCESS,0.0.3948521&0.0.3961531&0.0.3964804&0.0.3964808,0.0.4138717@1721149783.676281626
0.0.1140907,0.0.731861,104.289307,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1721149784.831425852
0.0.53416,0.0.731861,297.9010297,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1721149786.391418782
