account,token address,amount,state,pool address,tx id
0.0.3958740,0.0.731861,3.8972E-05,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1722282459.356041606
0.0.1265153,0.0.731861,0.08141024,SUCCESS,0.0.3948521&0.0.3964782&0.0.3961531&0.0.3964795&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964840&0.0.3964815,0.0.4138717@1722282457.627864459
0.0.165981,0.0.731861,3.55177E-05,SUCCESS,0.0.3948521,0.0.4138717@1722282459.792003157
0.0.1274087,0.0.731861,33.83362795,SUCCESS,0.0.3948521&0.0.3964804,0.0.4138717@1722282460.011747998
0.0.7951,0.0.731861,18126.66118,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964855&0.0.3964804&0.0.3964808&0.0.3964815,0.0.4138717@1722282459.582769736
0.0.1325925,0.0.731861,1934.579523,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3961531&0.0.3964795&0.0.3964800,0.0.4138717@1722282461.976521138
0.0.1008009,0.0.731861,0.371104231,SUCCESS,0.0.3948521&0.0.3964855,0.0.4138717@1722282459.571147959
0.0.665927,0.0.731861,35.1345407,SUCCESS,0.0.3948521,0.0.4138717@1722282458.398821212
0.0.692862,0.0.731861,52.85094812,SUCCESS,0.0.3948521&0.0.3964782,0.0.4138717@1722282460.624002220
0.0.1140907,0.0.731861,40.76437701,SUCCESS,0.0.3948521,0.0.4138717@1722282459.527369891
0.0.53416,0.0.731861,110.6813466,SUCCESS,0.0.3948521,0.0.4138717@1722282464.897390074
0.0.1152713,0.0.731861,21719.93746,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1722282465.688836716
0.0.919082,0.0.731861,15.87313966,SUCCESS,0.0.3948521,0.0.4138717@1722282467.316987508
0.0.1427613,0.0.731861,0.208890896,SUCCESS,0.0.3948521,0.0.4138717@1722282466.496142444
0.0.1465114,0.0.731861,1098.19655,SUCCESS,0.0.3948521&0.0.3964790,0.0.4138717@1722282466.367824383
0.0.2960520,0.0.731861,0.12541439,SUCCESS,0.0.3948521,0.0.4138717@1722282466.398666879
0.0.858338,0.0.731861,1.29137E-06,SUCCESS,0.0.3948521,0.0.4138717@1722282468.137058082
0.0.2005033,0.0.731861,1.822515658,SUCCESS,0.0.3948521,0.0.4138717@1722282466.243776250
0.0.1097257,0.0.731861,2.137446438,SUCCESS,0.0.3948521&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964837&0.0.3964840&0.0.3964804&0.0.3964808&0.0.3964821&0.0.3964860,0.0.4138717@1722282465.089034788
0.0.896352,0.0.731861,101.4412827,SUCCESS,0.0.3948521&0.0.3961531&0.0.3964804,0.0.4138717@1722282464.980923228
0.0.3313554,0.0.731861,24.5777173,SUCCESS,0.0.3948521,0.0.4138717@1722282467.994796506
0.0.1338331,0.0.731861,6.002120313,SUCCESS,0.0.3948521&0.0.3961531&0.0.3964804,0.0.4138717@1722282470.576968814
0.0.1133493,0.0.731861,3922.346764,SUCCESS,0.0.3948521&0.0.3964795&0.0.3964800&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964821&0.0.3964825&0.0.6071074,0.0.4138717@1722282471.195947183
0.0.4544530,0.0.731861,265.854176,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964855&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964815&0.0.3964821&0.0.3964825&0.0.3964860,0.0.4138717@1722282470.303354181
0.0.6068244,0.0.731861,246.4740596,SUCCESS,0.0.3948521&0.0.3964840&0.0.3964804&0.0.3964821&0.0.3964825,0.0.4138717@1722282470.118296384
0.0.6034631,0.0.731861,42.92904111,NOT_ASSOCIATED,0.0.3948521&0.0.3964804,
0.0.6099825,0.0.731861,33.34544686,NOT_ASSOCIATED,0.0.3948521&0.0.3964804,
0.0.901443,0.0.731861,12.66795518,SUCCESS,0.0.3948521&0.0.3964804,0.0.4138717@1722282471.239633924
0.0.5118079,0.0.731861,10.58523816,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1722282472.247609519
0.0.5118232,0.0.731861,0.459765122,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1722282470.280932278
0.0.5129249,0.0.731861,13.38928347,SUCCESS,0.0.3948521&0.0.3964790&0.0.3964804,0.0.4138717@1722282468.841091567
0.0.5119346,0.0.731861,13.37767643,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1722282473.899422176
0.0.5188747,0.0.731861,22.35761614,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1722282475.241628218
0.0.5182107,0.0.731861,0.881825479,NOT_ASSOCIATED,0.0.3948521&0.0.3951117&0.0.3964804,
0.0.1339713,0.0.731861,0.014442199,SUCCESS,0.0.3948521,0.0.4138717@1722282472.702580310
0.0.5119059,0.0.731861,4.012776885,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1722282473.553711409
0.0.5273155,0.0.731861,17.59254386,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1722282475.417519375
0.0.5310061,0.0.731861,2.108107046,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1722282474.641594243
0.0.4744252,0.0.731861,0.028252475,SUCCESS,0.0.3948521,0.0.4138717@1722282476.904210474
0.0.5687394,0.0.731861,0.006775706,NOT_ASSOCIATED,0.0.3948521,
0.0.5976303,0.0.731861,1.074302159,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1722282476.144832280
0.0.6079373,0.0.731861,0.019595067,SUCCESS,0.0.3948521,0.0.4138717@1722282476.609618151
0.0.5181423,0.0.731861,60.09379309,NOT_ASSOCIATED,0.0.3948521&0.0.3961531&0.0.3951117&0.0.3964804,
0.0.6096464,0.0.731861,78.22357107,NOT_ASSOCIATED,0.0.3948521&0.0.3964808,
0.0.6440477,0.0.731861,0.53641453,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1722282478.844781375
0.0.4712184,0.0.731861,0.005932371,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964855,0.0.4138717@1722282476.982683602
0.0.1353334,0.0.731861,0.886693505,SUCCESS,0.0.3948521&0.0.3964804,0.0.4138717@1722282481.530876545
0.0.4313767,0.0.731861,0.01191406,SUCCESS,0.0.3948521&0.0.3964790,0.0.4138717@1722282481.768114019
0.0.1045561,0.0.731861,0.012104424,SUCCESS,0.0.3948521&0.0.3961531&0.0.3964800,0.0.4138717@1722282477.678920885
0.0.4865794,0.0.731861,262.8167617,SUCCESS,0.0.3948521,0.0.4138717@1722282479.976076814
0.0.4880246,0.0.731861,25.47699141,SUCCESS,0.0.3948521&0.0.3964790&0.0.3964804&0.0.3964809,0.0.4138717@1722282481.583687454
0.0.1282331,0.0.731861,25.24563225,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964790&0.0.3964804,0.0.4138717@1722282481.852375202
0.0.3971792,0.0.731861,0.005925219,SUCCESS,0.0.3948521,0.0.4138717@1722282478.987968482
0.0.5340961,0.0.731861,0.105831016,SUCCESS,0.0.3948521&0.0.3951117,0.0.4138717@1722282479.507931837
0.0.5738143,0.0.731861,2561.67639,SUCCESS,0.0.3948521&0.0.3964785&0.0.3961531&0.0.3964795&0.0.3951117&0.0.3964808&0.0.3964809&0.0.3964815&0.0.3964821&0.0.3964825&0.0.6071074,0.0.4138717@1722282484.395393688
0.0.6033605,0.0.731861,2.08E-08,SUCCESS,0.0.3948521,0.0.4138717@1722282484.549270407
0.0.4765629,0.0.731861,1.126272747,SUCCESS,0.0.3948521&0.0.3964827,0.0.4138717@1722282484.401769514
0.0.720300,0.0.731861,1.668515549,SUCCESS,0.0.3948521,0.0.4138717@1722282485.767779565
0.0.834461,0.0.731861,45.08817209,SUCCESS,0.0.3948521,0.0.4138717@1722282482.892873956
0.0.6124502,0.0.731861,641.2030524,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964808,0.0.4138717@1722282482.498480123
0.0.5031572,0.0.731861,0.018291704,SUCCESS,0.0.3948521,0.0.4138717@1722282487.867695138
0.0.1936619,0.0.731861,504.0912421,SUCCESS,0.0.3948521,0.0.4138717@1722282487.026178784
0.0.1512214,0.0.731861,0.109560292,SUCCESS,0.0.3964782&0.0.3964809,0.0.4138717@1722282485.320259003
0.0.1483886,0.0.731861,9898.834907,SUCCESS,0.0.3964782,0.0.4138717@1722282487.906788117
0.0.1078514,0.0.731861,0.190475116,SUCCESS,0.0.3964782,0.0.4138717@1722282488.702838319
0.0.1415474,0.0.731861,220.138715,SUCCESS,0.0.3964782&0.0.3964785,0.0.4138717@1722282488.233781800
0.0.2152309,0.0.731861,9.54E-08,SUCCESS,0.0.3964782,0.0.4138717@1722282489.521988128
0.0.1416793,0.0.731861,0.381604649,SUCCESS,0.0.3964782,0.0.4138717@1722282490.689472395
0.0.838563,0.0.731861,4338.379982,SUCCESS,0.0.3964782&0.0.3964785&0.0.3951117,0.0.4138717@1722282490.294322861
0.0.6145706,0.0.731861,10.74372983,SUCCESS,0.0.3964782&0.0.3964804,0.0.4138717@1722282491.940826135
0.0.4766646,0.0.731861,6.641508444,SUCCESS,0.0.3964785&0.0.3964804,0.0.4138717@1722282490.455062033
0.0.1429557,0.0.731861,2.221460246,SUCCESS,0.0.3964785&0.0.3964815,0.0.4138717@1722282491.224570382
0.0.6291104,0.0.731861,0.338636949,SUCCESS,0.0.3964785,0.0.4138717@1722282488.444477224
0.0.3359892,0.0.731861,2852.21249,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1722282491.912757110
0.0.1082789,0.0.731861,20166.29984,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964855,0.0.4138717@1722282491.395136781
0.0.731707,0.0.731861,872.7116584,SUCCESS,0.0.3964790&0.0.3961531&0.0.3964855,0.0.4138717@1722282493.257662880
0.0.732888,0.0.731861,76.47155809,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964827,0.0.4138717@1722282493.389852648
0.0.1479798,0.0.731861,25.2717762,SUCCESS,0.0.3964790&0.0.3964837&0.0.3964860,0.0.4138717@1722282495.862459737
0.0.3965633,0.0.731861,0.043077934,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1722282495.094883112
0.0.731977,0.0.731861,0.608172362,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117,0.0.4138717@1722282495.077869669
0.0.835827,0.0.731861,6.434022395,SUCCESS,0.0.3964790,0.0.4138717@1722282494.330450501
0.0.1263649,0.0.731861,1.143389893,SUCCESS,0.0.3964790,0.0.4138717@1722282496.975321141
0.0.1130645,0.0.731861,101.4997372,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1722282498.624594654
0.0.1051402,0.0.731861,175.0003065,SUCCESS,0.0.3964790&0.0.3964800&0.0.3964827,0.0.4138717@1722282498.594244309
0.0.622222,0.0.731861,180.3400681,SUCCESS,0.0.3964790&0.0.3964808,0.0.4138717@1722282500.704968726
0.0.1085174,0.0.731861,337.6466211,SUCCESS,0.0.3964790,0.0.4138717@1722282501.100724271
0.0.822962,0.0.731861,0.782011612,SUCCESS,0.0.3964790,0.0.4138717@1722282500.284428788
0.0.886182,0.0.731861,5.104728806,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1722282498.766701252
0.0.1528,0.0.731861,1.851206366,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964855,0.0.4138717@1722282499.781752786
0.0.1078483,0.0.731861,234.5714963,SUCCESS,0.0.3964790,0.0.4138717@1722282497.509634009
