account,token address,amount,state,pool address,tx id,,,,
0.0.3845966,0.0020159011067601,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336179.743554510,,,,
0.0.837404,5212.662587964410,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336178.518556897,,,,
0.0.4431274,20.02645147970780,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336179.259133744,,,,
0.0.4342467,2.590058173629670,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336180.142263115,,,,
0.0.6082528,5.850361454681310,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336178.878447329,,,,
0.0.4544530,0.3046844267069230,SUCCESS,0.0.6070128,0.0.6078459&0.0.6078473,0.0.4138717@1728336181.178558672,,,,
0.0.1893652,3.005645362288830,SUCCESS,0.0.6070128,0.0.6078459&0.0.6078473,0.0.4138717@1728336181.473567068,,,,
0.0.4207604,10.10758096442630,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336179.290347938,,,,
0.0.4351070,1.318976367504270,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336181.024536079,,,,
0.0.4360549,213.867014205695,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336180.322304164,,,,
0.0.4202231,6.026556593695240,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336185.817091080,,,,
0.0.2997555,0.2835007796803170,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336186.041243230,,,,
0.0.874760,166.3527343763740,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336187.142570534,,,,
0.0.4383878,1.50772782162949,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336186.954962546,,,,
0.0.4606843,0.1243445713433620,NOT_ASSOCIATED,0.0.6070128,0.0.6078459,,,,,
0.0.4339032,0.00366188600081346,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336186.529811912,,,,
0.0.6137567,358.4246313201530,SUCCESS,0.0.6070128,0.0.6078459,0.0.4138717@1728336186.201698503,,,,
