account,amount,state,token address,pool address,tx id
0.0.837554,35.81915993389539,SUCCESS,hbar,0.0.3948521&0.0.3964795&0.0.3964804&0.0.3964821&0.0.4601632&0.0.6071041,0.0.4138717@1733180341.203761959
0.0.4093788,7.386848044353142,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964827,0.0.4138717@1733180340.300814016
0.0.4358361,1.622257064440364,SUCCESS,hbar,0.0.3948521&0.0.5328590,0.0.4138717@1733180337.782765023
0.0.1404780,17.74626970326068,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180339.558076443
0.0.5182107,0.8926294027626134,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1733180342.372700170
0.0.5188747,22.72905484188037,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1733180341.672611823
0.0.5119346,11.11413892903997,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1733180340.792935294
0.0.5118232,0.6613946713288099,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1733180339.792795049
0.0.5118079,8.122426256107953,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1733180340.333828629
0.0.2595,19.72232064565062,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180339.846839839
0.0.6096464,25.5364701210293,SUCCESS,hbar,0.0.3948521&0.0.3964808,0.0.4138717@1733180344.956363851
0.0.6099825,0.1964592883781558,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180347.169094486
0.0.4544530,410.5002355994409,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3961531&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964815&0.0.3964821&0.0.3964825&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964855&0.0.3964860&0.0.3964840&0.0.4129330&0.0.4601632&0.0.6071041&0.0.6078459&0.0.6078473,0.0.4138717@1733180346.598477479
0.0.896352,91.0326158430288,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964860&0.0.6071041&0.0.6071119,0.0.4138717@1733180343.572239381
0.0.1097257,84.66849600606598,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964821&0.0.3964860&0.0.3964840,0.0.4138717@1733180343.558100591
0.0.4138268,56.52279029881258,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1733180344.047972492
0.0.1882571,26.64275525314391,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964860,0.0.4138717@1733180346.665973787
0.0.1427613,4.66557349037513,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180347.290025737
0.0.1088394,59.94448313830868,SUCCESS,hbar,0.0.3948521&0.0.3964790&0.0.3964804&0.0.3964860,0.0.4138717@1733180345.352061140
0.0.1152713,5922.014886450967,SUCCESS,hbar,0.0.3948521&0.0.3961531,0.0.4138717@1733180345.654536708
0.0.1140907,59.4037962591096,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180348.580884646
0.0.665927,79.26428591248593,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1733180349.014929665
0.0.1325925,2300.591536280486,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964782&0.0.3964785&0.0.3964795&0.0.3964800,0.0.4138717@1733180348.124048003
0.0.7951,25879.18964328477,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964815&0.0.3964855,0.0.4138717@1733180348.854479570
0.0.165981,0.0006832298679079417,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180352.994676378
0.0.1265153,0.1818492091564854,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3961531&0.0.3964782&0.0.3964795&0.0.3964815&0.0.3964827&0.0.3964834&0.0.3964840,0.0.4138717@1733180352.251777471
0.0.3958740,0.0002550374139989336,SUCCESS,hbar,0.0.3948521&0.0.3961531,0.0.4138717@1733180352.656592713
0.0.5119059,3.991682227902622,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1733180350.152892842
0.0.820781,1364.640364781308,SUCCESS,hbar,0.0.3948521&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964821&0.0.6071074&0.0.6078473,0.0.4138717@1733180349.586497893
0.0.5052897,18.27813203641746,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1733180354.396180792
0.0.5031572,0.5100025628234341,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180352.759943263
0.0.6033605,0.005350552378885882,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180354.635238730
0.0.5612523,0.4155507219372179,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180355.279536833
0.0.4337411,499.0790628741623,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3961531&0.0.3964804,0.0.4138717@1733180353.960681345
0.0.3971792,1.20302297885933,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1733180353.575554745
0.0.4880246,20.53036283742404,SUCCESS,hbar,0.0.3948521&0.0.3964790&0.0.3964804&0.0.3964809,0.0.4138717@1733180358.375480980
0.0.4865794,159.9817749246396,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180355.261657269
0.0.4313767,0.2266934467885978,SUCCESS,hbar,0.0.3948521&0.0.3964790,0.0.4138717@1733180354.067308162
0.0.4712184,0.2571212853278873,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964782&0.0.3964790&0.0.3964795&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964855&0.0.3964840,0.0.4138717@1733180357.338061235
0.0.5976303,1.106991776796241,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1733180356.905696679
0.0.1339713,19.27703254870894,SUCCESS,hbar,0.0.3948521&0.0.3961531,0.0.4138717@1733180361.041224566
0.0.5273155,19.85320081346117,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1733180357.667892157
0.0.5310061,2.001935979492661,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1733180360.269905862
0.0.4744252,1.220316780197023,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180362.514999599
0.0.5687394,0.2926648839221324,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180361.745808287
0.0.6440477,0.8966057420513482,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1733180361.885531528
0.0.3918882,0.03196383193133694,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180362.124140234
0.0.1049025,0.03707447899047583,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180361.049396371
0.0.953203,855.5508930564549,SUCCESS,hbar,0.0.3948521&0.0.3964808,0.0.4138717@1733180359.707044549
0.0.7349062,0.2370996162149681,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1733180361.426758183
0.0.858338,152.3817258731825,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180362.566456698
0.0.5261968,0.3609456043117796,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180362.842379368
0.0.1456638,5.651462382058185,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180362.778964307
0.0.5804427,0.439912232523076,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.4601632,0.0.4138717@1733180367.206436900
0.0.8316,0.002317569769481099,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180364.983995153
0.0.4360413,160.5085352769622,SUCCESS,hbar,0.0.3948521&0.0.3964815&0.0.3964827,0.0.4138717@1733180364.520459241
0.0.4594562,51.35745644878452,SUCCESS,hbar,0.0.3948521&0.0.3964790,0.0.4138717@1733180362.945153224
0.0.7639907,0.1440021440752533,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180365.937009770
0.0.1643938,293.3652865080727,SUCCESS,hbar,0.0.3948521&0.0.3964795&0.0.6071074&0.0.6078473,0.0.4138717@1733180364.893774136
0.0.1117641,27.98923171796978,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180366.097098909
0.0.7114324,12.05241968798462,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3961531&0.0.3964804,0.0.4138717@1733180368.855109593
0.0.3948452,22.95561748888929,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1733180368.256802217
0.0.2582231,4.808533298153008,SUCCESS,hbar,0.0.3948521&0.0.5328590,0.0.4138717@1733180368.738374349
0.0.6199338,0.5300272372595373,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1733180368.666716420
0.0.4154537,207.9620250494932,SUCCESS,hbar,0.0.3948521&0.0.3964840,0.0.4138717@1733180369.119278740
0.0.7696338,0.1154985411624663,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180368.814384981
0.0.6796315,20.23734654999306,SUCCESS,hbar,0.0.3948521,0.0.4138717@1733180369.598100727
0.0.2787506,6.479020373015502,SUCCESS,hbar,0.0.3948521&0.0.3964795&0.0.3964804,0.0.4138717@1733180368.889509207
0.0.1453803,16.29766721690322,SUCCESS,hbar,0.0.3951117&0.0.6071041,0.0.4138717@1733180370.178886807
0.0.850729,6.010303704406685,SUCCESS,hbar,0.0.3951117,0.0.4138717@1733180373.067134624
0.0.3242760,27.46707570101218,SUCCESS,hbar,0.0.3951117&0.0.3961531,0.0.4138717@1733180371.826340598
0.0.700741,0.0686516160452717,SUCCESS,hbar,0.0.3951117&0.0.3964790,0.0.4138717@1733180374.410048572
0.0.2173349,0.3389757601966834,SUCCESS,hbar,0.0.3951117,0.0.4138717@1733180372.084177742
0.0.4340839,0.179611768359988,SUCCESS,hbar,0.0.3951117,0.0.4138717@1733180375.182926302
0.0.795838,0.5928525304238714,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1733180374.264872900
0.0.1142527,0.09695268160237835,SUCCESS,hbar,0.0.3951117,0.0.4138717@1733180373.610758894
0.0.4340074,0.5287744132115424,SUCCESS,hbar,0.0.3951117&0.0.3964795,0.0.4138717@1733180376.228996044
0.0.1094479,0.2135523704721282,SUCCESS,hbar,0.0.3951117,0.0.4138717@1733180373.616164065
0.0.1388261,0.1247281212893849,SUCCESS,hbar,0.0.3951117,0.0.4138717@1733180374.424426437
0.0.4333286,0.5799143076239923,SUCCESS,hbar,0.0.3951117&0.0.3964827&0.0.3964860,0.0.4138717@1733180377.338973875
0.0.2221648,155.8409271314046,SUCCESS,hbar,0.0.3951117&0.0.6071119,0.0.4138717@1733180378.800393828
0.0.4313613,0.2916503343198014,SUCCESS,hbar,0.0.3951117,0.0.4138717@1733180377.740791945
0.0.835079,80.47094236255914,SUCCESS,hbar,0.0.3951117&0.0.3964790&0.0.4129330&0.0.6071119,0.0.4138717@1733180377.907550871
0.0.4317488,0.210652596539887,SUCCESS,hbar,0.0.3951117,0.0.4138717@1733180381.048283772
